iter	Passed	Remaining
0	137	137524
1	139	69709
2	141	46986
3	143	35672
4	145	28953
5	147	24444
6	149	21187
7	151	18731
8	152	16802
9	154	15262
10	155	13991
11	157	12945
12	159	12105
13	161	11367
14	163	10715
15	164	10136
16	166	9647
17	168	9186
18	169	8773
19	171	8418
20	173	8108
21	176	7827
22	177	7540
23	179	7287
24	180	7037
25	181	6812
26	183	6608
27	184	6411
28	186	6244
29	188	6086
30	189	5924
31	190	5764
32	191	5615
33	193	5486
34	194	5356
35	195	5229
36	196	5109
37	197	5002
38	198	4896
39	199	4797
40	201	4705
41	202	4613
42	203	4523
43	204	4441
44	205	4364
45	206	4283
46	207	4205
47	208	4129
48	209	4056
49	209	3986
50	210	3919
51	211	3853
52	211	3787
53	212	3723
54	213	3662
55	213	3603
56	214	3545
57	214	3489
58	215	3436
59	216	3385
60	216	3336
61	217	3287
62	217	3238
63	218	3192
64	218	3147
65	219	3104
66	219	3062
67	220	3021
68	221	2986
69	221	2947
70	222	2910
71	223	2874
72	223	2839
73	224	2803
74	224	2770
75	225	2736
76	225	2704
77	226	2673
78	226	2642
79	227	2613
80	227	2584
81	228	2557
82	228	2526
83	229	2499
84	229	2472
85	230	2447
86	230	2423
87	231	2399
88	232	2375
89	232	2352
90	233	2331
91	233	2308
92	234	2285
93	234	2264
94	235	2243
95	236	2223
96	236	2203
97	237	2183
98	237	2164
99	238	2145
100	238	2126
101	239	2108
102	239	2089
103	240	2072
104	241	2055
105	241	2038
106	242	2022
107	242	2006
108	243	1990
109	244	1974
110	244	1959
111	245	1943
112	245	1929
113	246	1916
114	247	1903
115	247	1889
116	248	1874
117	249	1861
118	249	1848
119	250	1834
120	250	1821
121	251	1807
122	251	1795
123	252	1782
124	252	1769
125	253	1757
126	253	1745
127	254	1734
128	255	1724
129	255	1712
130	256	1701
131	257	1690
132	257	1679
133	258	1669
134	258	1658
135	259	1647
136	260	1637
137	261	1630
138	261	1622
139	262	1613
140	263	1604
141	263	1593
142	264	1584
143	265	1575
144	265	1566
145	266	1556
146	266	1546
147	267	1537
148	267	1528
149	268	1519
150	268	1510
151	269	1501
152	269	1494
153	270	1485
154	270	1476
155	271	1468
156	272	1460
157	272	1452
158	273	1445
159	273	1437
160	274	1428
161	275	1422
162	275	1415
163	276	1409
164	277	1403
165	277	1396
166	278	1389
167	279	1382
168	279	1375
169	280	1368
170	280	1361
171	281	1356
172	282	1350
173	283	1343
174	283	1336
175	284	1329
176	284	1323
177	285	1317
178	285	1310
179	286	1304
180	286	1297
181	287	1291
182	287	1284
183	288	1278
184	288	1272
185	289	1266
186	290	1261
187	290	1255
188	291	1250
189	291	1244
190	292	1239
191	293	1233
192	293	1228
193	294	1222
194	294	1216
195	295	1211
196	295	1205
197	296	1200
198	296	1194
199	297	1188
200	297	1183
201	298	1178
202	298	1173
203	299	1168
204	299	1163
205	300	1158
206	301	1153
207	301	1148
208	302	1144
209	303	1140
210	303	1135
211	304	1130
212	304	1126
213	305	1121
214	305	1116
215	306	1112
216	307	1107
217	307	1103
218	308	1098
219	308	1094
220	309	1090
221	309	1086
222	310	1081
223	310	1077
224	311	1072
225	311	1068
226	312	1064
227	313	1060
228	313	1056
229	314	1052
230	314	1048
231	315	1044
232	316	1041
233	316	1037
234	317	1033
235	318	1029
236	318	1026
